"split","fold","threshold","specificity","sensitivity","fpr","tpr"
"training","overall",0.316358214140096,0.669064748201439,0.888888888888889,0.330935251798561,0.888888888888889
"training","overall",0.3170038056814,0.672661870503597,0.888888888888889,0.327338129496403,0.888888888888889
"training","overall",0.319371487629948,0.676258992805755,0.888888888888889,0.323741007194245,0.888888888888889
"training","overall",0.32144543302618,0.679856115107914,0.888888888888889,0.320143884892086,0.888888888888889
"training","overall",0.32278993631909,0.679856115107914,0.884920634920635,0.320143884892086,0.884920634920635
"training","overall",0.324196727590961,0.683453237410072,0.884920634920635,0.316546762589928,0.884920634920635
"training","overall",0.325362642585739,0.68705035971223,0.884920634920635,0.31294964028777,0.884920634920635
"training","overall",0.328203649516081,0.690647482014389,0.884920634920635,0.309352517985611,0.884920634920635
"training","overall",0.330432203009191,0.694244604316547,0.884920634920635,0.305755395683453,0.884920634920635
"training","overall",0.330978245177119,0.694244604316547,0.880952380952381,0.305755395683453,0.880952380952381
"training","overall",0.332145888618372,0.694244604316547,0.876984126984127,0.305755395683453,0.876984126984127
"training","overall",0.334539064145134,0.697841726618705,0.876984126984127,0.302158273381295,0.876984126984127
"training","overall",0.336474949158062,0.697841726618705,0.873015873015873,0.302158273381295,0.873015873015873
"training","overall",0.337021526417218,0.697841726618705,0.869047619047619,0.302158273381295,0.869047619047619
"training","overall",0.339590447292612,0.701438848920863,0.869047619047619,0.298561151079137,0.869047619047619
"training","overall",0.344773219872227,0.705035971223022,0.869047619047619,0.294964028776978,0.869047619047619
"training","overall",0.353993419208514,0.705035971223022,0.865079365079365,0.294964028776978,0.865079365079365
"training","overall",0.363297091935272,0.705035971223022,0.861111111111111,0.294964028776978,0.861111111111111
"training","overall",0.366813124166168,0.70863309352518,0.861111111111111,0.29136690647482,0.861111111111111
"training","overall",0.367768730915667,0.712230215827338,0.861111111111111,0.287769784172662,0.861111111111111
"training","overall",0.374063939106694,0.715827338129496,0.861111111111111,0.284172661870504,0.861111111111111
"training","overall",0.381762598760276,0.719424460431655,0.861111111111111,0.280575539568345,0.861111111111111
"training","overall",0.385714170428192,0.723021582733813,0.861111111111111,0.276978417266187,0.861111111111111
"training","overall",0.38840839125781,0.726618705035971,0.861111111111111,0.273381294964029,0.861111111111111
"training","overall",0.38881092323949,0.726618705035971,0.857142857142857,0.273381294964029,0.857142857142857
"training","overall",0.389756928201337,0.726618705035971,0.853174603174603,0.273381294964029,0.853174603174603
"training","overall",0.39345254864936,0.73021582733813,0.853174603174603,0.26978417266187,0.853174603174603
"training","overall",0.397894240622645,0.733812949640288,0.853174603174603,0.266187050359712,0.853174603174603
"training","overall",0.400114318898302,0.737410071942446,0.853174603174603,0.262589928057554,0.853174603174603
